DISTANCE,INRIX_SPEED,INRIX_TIME,TNC_PUDO,name,,,,,,
2.0,27.5,4.33,17.8,105+06601_AM,,,,,,
2.0,32.6,3.65,0.4,105-06598_AM,,,,,,
2.0,30.9,3.85,1.5,105+06601_EA,,,,,,
2.0,33.0,3.60,0.3,105-06598_EA,,,,,,
2.0,30.9,3.85,9.3,105+06601_EV,,,,,,
2.0,32.3,3.68,5.4,105-06598_EV,,,,,,
2.0,29.4,4.03,15.3,105+06601_MD,,,,,,
2.0,30.3,3.92,2.1,105-06598_MD,,,,,,
2.0,28.5,4.17,6.9,105+06601_PM,,,,,,
2.0,29.0,4.09,3.2,105-06598_PM,,,,,,
1.5,51.2,1.75,0.0,105-07764_AM,,,,,, 
1.5,48.6,1.85,0.0,105-07764_EV,,,,,,
1.2,14.5,4.90,5.7,105-06468_AM,,,,,,
1.2,16.0,4.42,0.6,105-06468_EA,,,,,,
1.2,15.0,4.73,29.3,105-06468_EV,,,,,,
1.2,12.3,5.76,19.4,105-06468_MD,,,,,,
1.2,11.3,6.26,14.9,105-06468_PM,,,,,,
1.2,18.0,3.91,30.1,105+08382_AM,,,,,,
1.2,19.4,3.62,2.0,105+08382_EA,,,,,,
1.2,17.7,3.96,44.9,105+08382_EV,,,,,,
1.2,14.8,4.75,66.9,105+08382_MD,,,,,,
1.2,14.5,4.84,29.0,105+08382_PM,,,,,,
1.2,47.1,1.48,10.9,105-04624_AM,,,,,,
1.2,47.9,1.45,2.8,105-04624_EA,,,,,,
1.2,47.2,1.48,41.9,105-04624_EV,,,,,,
1.2,46.8,1.49,24.8,105-04624_MD,,,,,,
1.2,41.5,1.68,15.7,105-04624_PM,,,,,,
1.1,45.3,1.50,3.3,105_04625_AM,,,,,,
1.1,47.9,1.41,1.3,105_04625_EA,,,,,,
1.1,44.7,1.52,18.4,105_04625_EV,,,,,,
1.1,41.9,1.62,10.9,105_04625_MD,,,,,,
1.1,38.3,1.77,6.8,105_04625_PM,,,,,,
1.1,52.8,1.22,0.2,105+04869_AM,,,,,,
1.1,61.4,1.05,0.0,105+04869_EA,,,,,,
1.1,60.2,1.07,0.5,105+04869_EV,,,,,,
