RteCounty,Hours of Delay,Annual Delay (hours),Annual Miles Traveled ,Year
Alameda-13-2016,168, -   ,88173309,2016
Alameda-24-2014,52,398350,184559943,2014
Alameda-24-2015,70,321439,200446864,2015
Alameda-24-2016,79,305143,247795341,2016
Alameda-80-2014,17,1737451,528804924,2014
Alameda-80-2015,13,2830452,650871000,2015
Alameda-80-2016,13,2900484,698516771,2016
Alameda-84-2014,53,388669,166231226,2014
Alameda-84-2015,59,485406,202865115,2015
Alameda-84-2016,48,861739,182027397,2016
Alameda-92-2014,131,8740,152028474,2014
Alameda-92-2015,63,409753,510158080,2015
Alameda-92-2016,59,567720,230523299,2016
Alameda-238-2014,63,321116,98061944,2014
Alameda-238-2015,74,247164,215282874,2015
Alameda-238-2016,60,552431,206327917,2016
Alameda-580-2014,21,1320438,2390738324,2014
Alameda-580-2015,28,1233562,2433011584,2015
Alameda-580-2016,18,2149671,2832579511,2016
Alameda-680-2014,26,1120212,924688368,2014
Alameda-680-2015,30,1121899,935300986,2015
Alameda-680-2016,29,1304631,841304939,2016
Alameda-880-2014,13,2105777,2016240641,2014
Alameda-880-2014,117,19629,16799736,2014
Alameda-880-2015,11,3114244,3001011886,2015
Alameda-880-2015,110,41415,21584754,2015
Alameda-880-2016,7,4378812,2534915275,2016
Alameda-880-2016,169, -   ,23673930,2016
Alameda-980-2014,133,6628,58304949,2014
Alameda-980-2015,138,2719,87838135,2015
Alameda-980-2016,130,14487,64968152,2016
Contra Costa-4-2014,47,486930,971309522,2014
Contra Costa-4-2015,40,869463,1278890422,2015
Contra Costa-4-2016,30,1304610,1244293456,2016
Contra Costa-24-2014,51,414864,534578332,2014
Contra Costa-24-2015,42,811843,583529642,2015
Contra Costa-24-2016,27,1397023,583479737,2016
Contra Costa-80-2014,44,552867,673093744,2014
Contra Costa-80-2015,39,887989,798180019,2015
Contra Costa-80-2016,33,1268615,1198105290,2016
Contra Costa-160-2016,170, -   ,4810444,2016
Contra Costa-242-2014,84,103836,123476234,2014
Contra Costa-242-2015,102,61358,153269904,2015
Contra Costa-242-2016,99,147839,148936571,2016
Contra Costa-580-2014,99,59638,162148044,2014
Contra Costa-580-2015,81,202339,187768351,2015
Contra Costa-580-2016,84,261389,193527383,2016
Contra Costa-680-2014,33,812524,1264396519,2014
Contra Costa-680-2015,27,1239257,1448244531,2015
Contra Costa-680-2016,28,1385911,1458891654,2016
Los Angeles-2-2014,67,244383,419707050,2014
Los Angeles-2-2015,76,223463,440613292,2015
Los Angeles-2-2016,88,228594,435557798,2016
Los Angeles-5-2014,4,5044418,4085540237,2014
Los Angeles-5-2015,4,5800998,4309027036,2015
Los Angeles-5-2016,3,6997620,4379824392,2016
Los Angeles-10-2014,3,6483199,3510670202,2014
Los Angeles-10-2015,2,7752808,3510549318,2015
Los Angeles-10-2016,2,7525438,3615882063,2016
Los Angeles-14-2014,48,477924,1006217285,2014
Los Angeles-14-2015,54,551207,1040419443,2015
Los Angeles-14-2016,52,735704,1150345848,2016
Los Angeles-47-2014,127,10573,61373313,2014
Los Angeles-47-2015,130,11114,66152948,2015
Los Angeles-47-2016,136,9774,84805694,2016
Los Angeles-57-2014,23,1265524,725078194,2014
Los Angeles-57-2015,22,1599462,762732856,2015
Los Angeles-57-2016,31,1276190,823017689,2016
Los Angeles-60-2014,11,2250157,2544446143,2014
Los Angeles-60-2015,8,3649138,2594762292,2015
Los Angeles-60-2016,9,3583793,2647478144,2016
Los Angeles-71-2014,71,223114,111097446,2014
Los Angeles-71-2015,61,435543,242473671,2015
Los Angeles-71-2016,69,442818,149397241,2016
Los Angeles-90-2014,146,1347,76077316,2014
